Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C6, C9",0402,4,1pF,
"C10, C4, C7, C8",0402,4,100nF,
"C11, C5",0402,2,10uF,
"C12, C3",0402,2,47nF,
"C13, C14",0402,2,1uF,
"C15, C16, C17, C19, C20",0402,5,0.1uF,
"C18, C21",0402,2,47pF,
"C22, C23",0402,2,2.2uF,
"D1, D2",SOT-23,2,SM712_SOT23,
D3,0402,1,RX1LED,
D4,0402,1,TX1LED,
D5,0402,1,RX2LED,
D6,0402,1,TX2LED,
D7,0402,1,3V31LED,
D8,0402,1,3V32LED,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper_2_Open,
"JP2, JP3, JP4",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,3,SolderJumper_2_Bridged,
"R1, R10, R2, R9",0603,4,60,
"R11, R12",0402,2,4.42k,
"R13, R14",0402,2,470,
"R15, R16",0402,2,0,
"R3, R8",0603,2,0,
"R4, R5, R6, R7",0402,4,1k,
RBUS1,Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal,1,RBUS_IN,
RBUS2,Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal,1,RBUS_OUT,
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Pad_D1.0mm,6,TestPoint,
"TP10, TP11, TP12, TP7, TP8, TP9",PinHeader_1x01_P2.54mm_Vertical,6,TestPoint,
U1,SOP40P640X120-14N,1,SN74LV32ADGVR,
"U10, U11",SOT95P282X145-5N,2,AP2205-33W5-7,
U2,SOP50P310X90-8N,1,SN74LVC2G08DCUR,
U3,SOT95P280X145-6N,1,SN74LVC2G07DBVR,
U4,SOT95P280X145-6N,1,SN74LVC2G04DBVR,
U5,SOP50P310X90-8N,1,SN74LVC2G132DCUR,
"U6, U8",SOIC-8_3.9x4.9mm_P1.27mm,2,SN65HVD230,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,PLACEHOLDER ISOLATOR,
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,ADuM120N,
