Designator,Mid X,Mid Y,Rotation,Layer
C1,-11.602,-11.872,0.0,top
C10,7.46,-8.872,0.0,top
C11,7.458,-7.9,0.0,top
C12,11.113,-18.747,0.0,top
C13,-25.571999,1.478,270.0,top
C14,16.155901,-0.302526,0.0,top
C15,-24.9452,-17.6852,90.0,top
C16,-9.422,-10.182,0.0,top
C17,-11.132,3.748,180.0,top
C18,-18.542,-19.537,90.0,top
C19,-13.772,-19.492,0.0,top
C2,-19.052,-11.882,180.0,top
C20,-17.142,-15.202,0.0,top
C21,-24.330201,-16.305202,180.0,top
C22,11.958,1.44,90.0,top
C23,-20.451999,1.518,270.0,top
C3,-15.147,-1.38,90.0,top
C4,-14.942,-10.797,180.0,top
C5,-14.942,-11.747001,180.0,top
C6,7.806,-4.791,0.0,top
C7,-3.192,-7.552,270.0,top
C8,5.138,-7.612,270.0,top
C9,9.337,-8.881,180.0,top
D1,-15.147,1.5055,90.0,top
D2,13.958,-18.832,0.0,top
D3,-12.6395,-12.812,180.0,top
D4,-19.0495,-12.812,180.0,top
D5,7.821,-3.804,0.0,top
D6,4.24,-13.5015,270.0,top
D7,-23.702,3.318,0.0,top
D8,11.129,2.834,180.0,top
R1,-13.146,-1.555,0.0,top
R10,10.533,-19.947,180.0,top
R11,-24.950201,-19.525202,270.0,top
R12,-22.490201,-16.085202,180.0,top
R13,-21.837,3.318,180.0,top
R14,10.615,1.432,90.0,top
R15,-11.921,-4.183,270.0,top
R16,5.998001,-17.262,180.0,top
R2,-17.141,-1.561,0.0,top
R3,-18.532,-7.317,270.0,top
R4,-13.732,-13.752,0.0,top
R5,-19.0495,-13.752,180.0,top
R6,7.821,-2.809,0.0,top
R7,4.24,-15.4145,90.0,top
R8,13.557,-16.352,0.0,top
R9,10.553,-17.547,0.0,top
RBUS1,-25.082,-8.212,90.0,top
RBUS2,15.818,-8.212,270.0,top
TP10,3.847,-19.94,0.0,top
TP11,-2.002,0.094,0.0,top
TP12,3.909,0.096,0.0,top
TP7,-1.972,3.588,0.0,top
TP8,-1.888,-19.967,270.0,top
TP9,3.908,3.578,0.0,top
U1,-9.332,-0.622,90.0,top
U10,-23.012,1.048,0.0,top
U11,14.518,1.97,180.0,top
U2,-12.807,-17.782,180.0,top
U3,-22.370201,-18.255201,180.0,top
U4,-9.972,-7.612,270.0,top
U5,-16.832,-18.237,90.0,top
U6,-15.097,-6.632,0.0,top
U7,0.973,-9.807,270.0,top
U8,7.473,-13.087,180.0,top
U9,0.978,-4.412,90.0,top
